id,name_ja,group,rarity,weight,group_weight_sum,probability_per_draw,mean_draws_per_hit
R01,ベニヤマタケ,red,1,512,2899,0.176612625043,5.662109375
R02,アカヤマタケ,red,1,512,2899,0.176612625043,5.662109375
R03,ヒイロタケ,red,1,512,2899,0.176612625043,5.662109375
R04,ベニナギナタタケ,red,2,256,2899,0.0883063125216,11.32421875
R05,シュタケ,red,2,256,2899,0.0883063125216,11.32421875
R06,チシオタケ,red,2,256,2899,0.0883063125216,11.32421875
R07,ベニイグチ,red,3,128,2899,0.0441531562608,22.6484375
R08,ベニセンコウタケ,red,3,128,2899,0.0441531562608,22.6484375
R09,ヒメベニテングタケ,red,3,128,2899,0.0441531562608,22.6484375
R10,タマゴタケ,red,4,64,2899,0.0220765781304,45.296875
R11,ベニテングタケ,red,4,64,2899,0.0220765781304,45.296875
R12,ベニチャワンタケ,red,4,64,2899,0.0220765781304,45.296875
R13,アカイカタケ,red,9,2,2899,0.000689893066575,1449.5
R14,カエンタケ,red,6,16,2899,0.0055191445326,181.1875
R15,オオミノアカヤマタケ,red,10,1,2899,0.000344946533287,2899
B01,シイタケ,brown,1,512,3183,0.160854539742,6.216796875
B02,ブナシメジ,brown,1,512,3183,0.160854539742,6.216796875
B03,ヒラタケ,brown,1,512,3183,0.160854539742,6.216796875
B04,マイタケ,brown,2,256,3183,0.0804272698712,12.43359375
B05,ナメコ,brown,2,256,3183,0.0804272698712,12.43359375
B06,ホコリタケ,brown,2,256,3183,0.0804272698712,12.43359375
B07,アカヤマドリ,brown,3,128,3183,0.0402136349356,24.8671875
B08,カキシメジ,brown,3,128,3183,0.0402136349356,24.8671875
B09,ドクヤマドリ,brown,4,64,3183,0.0201068174678,49.734375
B10,ツキヨタケ,brown,4,64,3183,0.0201068174678,49.734375
B11,ニセクロハツ,brown,5,32,3183,0.0100534087339,99.46875
B12,コウタケ,brown,6,16,3183,0.00502670436695,198.9375
B13,マツタケ,brown,7,8,3183,0.00251335218347,397.875
B14,ヤマドリタケ,brown,9,2,3183,0.000628338045869,1591.5
B15,ムニンヒメサカズキタケ,brown,10,1,3183,0.000314169022934,3183
B16,ドクツルタケ,brown,5,32,3183,0.0100534087339,99.46875
B17,アミガサタケ,brown,6,16,3183,0.00502670436695,198.9375
B18,キヌガサタケ,brown,8,4,3183,0.00125667609174,795.75
B19,クサウラベニタケ,brown,2,256,3183,0.0804272698712,12.43359375
B20,ウラベニホテイシメジ,brown,3,128,3183,0.0402136349356,24.8671875
