id,name_ja,item_id,texture_key,texture_file,source_file,source_origin,selection_note,texture_sha256,source_sha256
R01,ベニヤマタケ,pinene:r_mushroom_r01,pinene_myco_r01,textures_32x32/r01.png,sources_original/r01.png,赤橙色の光沢きのこアイコン.png,OpenArt試行後、このチャットで10種ずつ描き直した個別画像。後発の誤ラベル一覧画像は不採用。,90f822ec83d29fe474c24d04817b0fa0e9138796fec9a1d55f3f618f6ff813c1,c2b186beef0bfccc1132d3e8c7db4a887badde7cc8df58dfffd2e7aebd09e046
R02,アカヤマタケ,pinene:r_mushroom_r02,pinene_myco_r02,textures_32x32/r02.png,sources_original/r02.png,傾いた赤橙色のキノコドット絵.png,OpenArt試行後、このチャットで10種ずつ描き直した個別画像。後発の誤ラベル一覧画像は不採用。,ba04e552c1e59813b698f9921ca2413d7a4aba4b5a71db5e8827fd58a33d2b34,8050ec5df59c45945f07d2dafb807f3fd11701053f1d49eb30771854d3aed740
R03,ヒイロタケ,pinene:r_mushroom_r03,pinene_myco_r03,textures_32x32/r03.png,sources_original/r03.png,鮮やかなヒイロタケのドット絵アイコン.png,OpenArt試行後、このチャットで10種ずつ描き直した個別画像。後発の誤ラベル一覧画像は不採用。,c7fc1e0594fcc9f51389956f33ca4832227453a1401110f68190839ada26f48d,d9783cb8fc513340794c0fedb2375391b2fdd19418e4088e81da2c60b9def25b
R04,ベニナギナタタケ,pinene:r_mushroom_r04,pinene_myco_r04,textures_32x32/r04.png,sources_original/r04.png,ベニナギナタタケの群生ピクセルアート.png,OpenArt試行後、このチャットで10種ずつ描き直した個別画像。後発の誤ラベル一覧画像は不採用。,ac8f9e39b3f7781584aeb0c081e85c234b975c3266176198dd6f08625d36b89c,51eafe4167f218e59b083a6721d607f37aabf2bc0d6bfefe737af29537135a3f
R05,シュタケ,pinene:r_mushroom_r05,pinene_myco_r05,textures_32x32/r05.png,sources_original/r05.png,赤褐色の棚状キノコの_pixel_art.png,OpenArt試行後、このチャットで10種ずつ描き直した個別画像。後発の誤ラベル一覧画像は不採用。,ca6d8d89e337d41ecced110f9fd0cdbbb86869b34f2d1b50df786d3024186b11,e260704dfd6b9a50a3daca4387f1529f5e88984c708326c7bda6bc7496944fe2
R06,チシオタケ,pinene:r_mushroom_r06,pinene_myco_r06,textures_32x32/r06.png,sources_original/r06.png,血の滴る三本のドット絵キノコ.png,OpenArt試行後、このチャットで10種ずつ描き直した個別画像。後発の誤ラベル一覧画像は不採用。,4038c7547fede5f6bb6f426b9d1a06f7d630f0572b42dd0c41b80421c3452fb7,dbdd40a895a7ce06cd3c61219e593b6fedcfe751e061abf377cd5df2dfe19bbe
R07,ベニイグチ,pinene:r_mushroom_r07,pinene_myco_r07,textures_32x32/r07.png,sources_original/r07.png,ドット絵の赤いベニテングタケ風キノコ.png,OpenArt試行後、このチャットで10種ずつ描き直した個別画像。後発の誤ラベル一覧画像は不採用。,b014f1520f7c649ead726f77a870a09951f8bdbb77b4f222f6f9c0422314ef93,e684b4dfb7cbb312e97387df5b2b46e620008cc46d4a631d2b629ea61544c8bc
R08,ベニセンコウタケ,pinene:r_mushroom_r08,pinene_myco_r08,textures_32x32/r08.png,sources_original/r08.png,赤ピンクの珊瑚茸ピクセルアート.png,OpenArt試行後、このチャットで10種ずつ描き直した個別画像。後発の誤ラベル一覧画像は不採用。,85b5891b7f137074d5a25c6fb6368d415aafc18fbda92c6d69d4a9813dd4d298,eae6b0619b62edd6aff013f0dcfca2179db1174841694c5a8c963a9ba70e4d0c
R09,ヒメベニテングタケ,pinene:r_mushroom_r09,pinene_myco_r09,textures_32x32/r09.png,sources_original/r09.png,赤白のドット絵キノコ_sprite.png,OpenArt試行後、このチャットで10種ずつ描き直した個別画像。後発の誤ラベル一覧画像は不採用。,6a28c7ab793ededf1b08ae335a4b31c113ae7b41963fb8e3a93f458ad9c13eab,faff2b8475d666878ffab60b361071179acdd72b8a059033a482f7b0c596f3a2
R10,タマゴタケ,pinene:r_mushroom_r10,pinene_myco_r10,textures_32x32/r10.png,sources_original/r10.png,赤橙色のキノコ_pixel_art.png,OpenArt試行後、このチャットで10種ずつ描き直した個別画像。後発の誤ラベル一覧画像は不採用。,23a3a625eb95010acda5ab086d8c70be9e0861242487a4c2ccb112d2283995f1,4f604e0fbb7bf7b6f128369aa5bec270e13f147b981c803a69cc90aa9583d309
R11,ベニテングタケ,pinene:r_mushroom_r11,pinene_myco_r11,textures_32x32/r11.png,sources_original/r11.png,赤い斑点のベニテングタケドット絵.png,OpenArt試行後、このチャットで10種ずつ描き直した個別画像。後発の誤ラベル一覧画像は不採用。,4fc6c956d1aaf71e3747fce7401fa68a0cbc026268646bcf2b653843bba3a72a,cbcc78eda99d809574c11363190f7fe1118fdde845999eb3300c90616140eb92
R12,ベニチャワンタケ,pinene:r_mushroom_r12,pinene_myco_r12,textures_32x32/r12.png,sources_original/r12.png,赤いカップきのこのピクセルアイコン.png,OpenArt試行後、このチャットで10種ずつ描き直した個別画像。後発の誤ラベル一覧画像は不採用。,3a0910bcbbd833fb83a92296cd2ccfcb346e252c214a8c3a5d46451edf15d938,4a0dc98d883c77c79c188eca4f8fba1cd352a79283383bd7c00fe491b9aced1c
R13,アカイカタケ,pinene:r_mushroom_r13,pinene_myco_r13,textures_32x32/r13.png,sources_original/r13.png,ピクセルアートのアカイカタケ.png,後発バッチの赤い棒状画像は取り違え候補として除外。直前に確認された星状・腕状のアカイカタケ単体画像を維持。新規生成はしていません。,025f2f2a21ebd392e4e9bf5a3ed276a3bc0e53251b6b0dfdfeb770fdb9935c5d,66b7eb16134d002dc5f2fad7b3f0f504e10b21dc1a6d718b118d71849bdbbac8
R14,カエンタケ,pinene:r_mushroom_r14,pinene_myco_r14,textures_32x32/r14.png,sources_original/r14.png,ドット絵の赤いカエンタケ標本.png,OpenArt試行後、このチャットで10種ずつ描き直した個別画像。後発の誤ラベル一覧画像は不採用。,2ed5a808e4f584a31747751786e413859278e6bb953275db7f1eb20e84bbef5f,43f52139b8b169ac9ad98d3a07c1e5b8a2cf8932fd9a16fcdf105e7f9d7a7f1d
